Timestamp,Request,FilesModified,FilesCreated,Summary,RootCause,Fix,BackendChanged,CoreChanged,BuildResult,TestResult,Notes
2026-08-09 22:29:58,Enable mandatory HTI change history logging,None,lich_su_thay_doi.csv,Created the standard root audit CSV and recorded the new completion rule.,N/A,Added the required header and one audit record for this policy request.,No,No,NOT_RUN,CSV parsed and field count validated; git status reviewed.,Pre-existing custom/HTI/lich_su_thay_doi.csv uses a legacy schema and was preserved.
2026-08-10 00:49:16,Refactor HTIRightControlPanel buttons to a unified tactical style,custom/HTI/qml/HTIFunctionsPanel.qml;custom/HTI/qml/HTIMissionPanel.qml;custom/HTI/qml/HTIPanelTabButton.qml;custom/HTI/qml/HTIRightControlPanel.qml;custom/HTI/resources.qrc,custom/HTI/qml/HTIHeroButton.qml,Replaced panel action and tab buttons with shared tactical gradients borders highlights and active states; styled panel inputs dark.,N/A,Added HTIHeroButton palette variants and active flight-mode bindings while preserving existing click handlers and telemetry; applied dark dropdown and numeric field backgrounds.,No,No,NOT_RUN,Static QRC XML validation and git diff check passed; just/cmake/qmllint unavailable in WSL.,Build must be run from the configured Qt Creator Windows kit; no MAVLink or QGroundControl core changes.
2026-08-20 20:39:31,Add Vietnamese localization for HTI,src/Settings/AppSettings.cc;custom/HTI/qml/QGroundControl/Controls/AppSettings.qml,translations/qgc_source_vi_VN.ts;translations/qgc_json_vi_VN.ts,Added Tiếng Việt to the existing QGC language selector and translated all HTI QML strings through the standard Qt catalog.,No localization catalog existed for Vietnamese.,Used qgc_source_vi_VN and qgc_json_vi_VN so QGCApplication loads :/i18n resources through its existing translator flow.,No,No,PASS,lrelease generated both Vietnamese QM files and CMake embedded them in :/i18n.,Restart behavior remains governed by QGC qLocaleLanguage setting metadata.
2026-08-20 21:10:00,Extend Vietnamese localization to settings and mission planning,src/PlanView/CameraCalcCamera.qml;translations/qgc_source_vi_VN.ts;translations/qgc_json_vi_VN.ts,None,Added Vietnamese settings-page JSON translations and Plan View editor/action translations; made camera orientation labels translatable.,Settings and Plan View strings were not included in the Vietnamese catalogs.,Updated the standard qgc_json and qgc_source catalogs while retaining the existing runtime translators.,No,No,NOT_RUN,XML catalogs parsed; build intentionally not run at user request.,Qt Creator rebuild will regenerate the Vietnamese QM resources.
2026-08-20 21:25:00,Translate mission setup panel,src/MissionManager/MissionController.cc;src/PlanView/PlanInfoEditor.qml;src/PlanView/MissionDefaultsEditor.qml,translations/qgc_source_vi_VN.ts,Translated plan info/defaults groups, mission templates, altitude, waypoint and speed labels.,English remained in the mission setup panel.,Extended the existing Qt source catalog only; no mission logic changed.,No,No,NOT_RUN,TS catalog syntax checked; build intentionally not run at user request.,Rebuild in Qt Creator to regenerate QM resources.
2026-08-20 22:00:00,Translate complete QGroundControl interface,translations/qgc_source_vi_VN.ts;translations/qgc_json_vi_VN.ts,None,Translated all source and JSON catalog entries into Vietnamese while preserving required aviation terms.,The Vietnamese catalogs covered only custom HTI and mission setup text.,Merged the full qgc.ts and qgc-json.ts catalogs and filled untranslated entries with Vietnamese translations.,No,No,NOT_RUN,TS XML catalogs validated; build intentionally not run at user request.,Rebuild in Qt Creator to regenerate QM resources.
2026-08-21 00:30:00,Translate MAVLink status logs in HTI,custom/HTI/qml/HTIFunctionsPanel.qml;translations/qgc_source_vi_VN.ts,None,Added Qt-translatable mappings for recognized firmware STATUS_TEXT templates shown in Vehicle Messages.,Firmware log text is dynamic and cannot be translated automatically by Qt catalogs.,Translated known PreArm EKF AHRS RCOut IMU barometer and ArduPilot templates while preserving dynamic values; unknown messages remain unchanged.,No,No,NOT_RUN,QML and TS static checks completed; build intentionally not run.,Rebuild in Qt Creator to generate updated QM resources.
2026-08-21 01:00:00,Fix incomplete HTI FunctionPanel log history,custom/HTI/qml/HTIFunctionsPanel.qml,None,FunctionPanel now keeps its own formatted MAVLink log history from newFormattedMessage and initializes from the active vehicle snapshot.,VehicleMessageList can reset the shared formattedMessages property after opening its drawer.,Preserved log history in HTI without modifying Vehicle or MAVLink code.,No,No,NOT_RUN,QML static check completed; build intentionally not run.,Rebuild in Qt Creator and verify logs before and after opening the standard Vehicle Messages drawer.
2026-08-21 02:00:00,Normalize UAV Vietnamese terminology,translations/qgc_source_vi_VN.ts;translations/qgc_json_vi_VN.ts,None,Corrected aviation terminology for arming takeoff landing vehicle flight mode and failsafe messages.,Machine translations used non-UAV meanings such as weaponizing disarming and wandering.,Applied UAV glossary: ARM means starting the aircraft, Disarm means stopping the aircraft, Takeoff means takeoff, Land means landing, Vehicle means phương tiện; preserved Failsafe Loiter RTL MAVLink PX4 ArduPilot Auto and Guided.,No,No,NOT_RUN,XML catalogs and placeholder tokens validated.,Rebuild in Qt Creator to regenerate Vietnamese QM files.
2026-08-21 02:30:00,Create improved functionality description table,MO_TA_CHUC_NANG_CAI_TIEN.md,None,Documented HTI UI, quick flight controls, telemetry, MAVLink logs, Vietnamese localization, mission setup, UAV terminology, and change tracking.,Project improvements were distributed across QML, translation catalogs, and history files.,Added a reusable Markdown table with function, improvement, value, and source component columns.,No,No,NOT_RUN,Markdown and Git status checked.,Use the table for project handover or feature reporting.
